UF Code;EIC Code;Short Description;Large Description;Maximum Power Capacity MW;Production Type;BRP Code;UP Code
EGU1;18WEGU1-12345-AK;EGUILLOR 1;EGUILLOR 1;0,5;Hydro UGH;IBEG;EBRA
EGU2;18WEGU2-12345-AA;EGUILLOR 2;EGUILLOR 2;0,7;Hydro UGH;IBEG;EBRA
EGUPC01;18W000000000UB11;ES-EGSGEUP;EGSGEUP;0,0;Competitive suppliers;EGSGE;EGUPC01
EHILC01;18W000000000B3RC;HELIA UP;HELIA UP;3,0;Competitive suppliers;HELIC;EHILC01
EINDC01;18W000000000SQ6S;EINDC01;EINDC01;0,1;Competitive suppliers;EINDE;EINDC01
EINTC01;18W000000000M3ZQ;EI15 PEN;INTERSOL PENINSULA;10,0;Competitive suppliers;INSOL;EINTC01
EITOB;18WEITOB-12345-7;EITOB;EITOB;2,0;Biomass;CEG;RPUEBLA
EITOC;18WEITOC-12345-Z;EITOC;COGENERACIÓN-PUEBLA ALMORADIEL;10,0;Natural Gas Cogeneration;CEG;TEITOL
EJE2;18W000000000PZV0;EJE2;EJE2;2,0;Solar PV;GNRA;FVGNRA
EKHIC01;18W000000000QDKA;EKHINEO;EKHINEO ENERGA;1,0;Competitive suppliers;EKHIN;EKHIC01
EKIOLA;18W000000000SZ1B;EKIOLA;UF SOLAR EKIOLA;1,0;Solar PV;NEXU;FEKIOLA
EKOCMG1;18W000000000K758;EKOCMG1;18W000000000K758;25,5;Household and similar wastes;EGLE;RDAKIN
ELALAMO;18WELALAMOEOLIC8;ELALAMO;P.E. EL ALAMO;36,0;Wonshore wind;HC G;HCGSCSA
ELALC01;18W-ELALC01-6--V;ALGIMIA;ALGIMIA;0,8;Competitive suppliers;ELALG;ELALC01
ELAVC01;18W-ELAVC01-2--V;ELAVE01 CO;ELECTRA AVELLANA COMERCIAL, S.;4,0;Competitive suppliers;ELAVE;ELAVC01
ELBEC01;18W0000000003SFU;ELBEN_UP;ELECTRICA BENASQUE SL;4,0;Competitive suppliers;ELBEN;ELBEC01
ELCAC01;18W-ELCAC01-9--O;ELCAC01;ELECTRA CALDENSE ENERGÍA COMPR;1,0;Competitive suppliers;ECAL;ELCAC01
ELCAMP;18W000000000RH8I;ELCAMP;PSFV-ELCAMPILLO;3,0;Solar PV;LAUEI;FELCAMP
ELCAMPI;18W000000000SPL1;PE EL CAMP;PE EL CAMPILLO;48,8;Wonshore wind;WMARK;EELCAMP
ELCAMPO;18W000000000F5TN;EL CAMPO;PE EL CAMPO;19,8;Wonshore wind;ECYR;EEGPES
ELCAST;18W000000000NJAO;ELCAST;PE EL CASTILLO;25,2;Wonshore wind;HC G;HCGSCSA
ELCIEGO;18WELCIEGO-123-A;ELCIEGO;ELCIEGO;1,9;Hydro non UGH;EGED;HATUDEL
ELCNC01;18W-ELCNC01-1--D;ELCNC01;ELCNC01;0,2;Competitive suppliers;ELECN;ELCNC01
ELCOTO1;18W000000000QHQN;ELCOTO1;PE EL COTO;21,0;Wonshore wind;WMARK;ELCOTOR
ELEAUX;18W000000000PLU7;ELEAUX1;ELEAUX SERVICIOS AUXILIARES;5,0;Aux. Svcs. Consumption;ELEIA;ELEAUX
ELECRUR;18W000000000JK68;ELECRUR;ELECRUR;2,9;Hydro non UGH;RSPRA;HHRSPRA
ELEIC01;18W000000000F0P9;ELEIC01;ELEIA COMPRA;0,1;Competitive suppliers;ELEIA;ELEIC01
ELEKC01;18W00000000012NQ;ELEKC01;ELEKC01;0,1;Competitive suppliers;ELEK;ELEKC01
ELEPCX1;18W000000000OMC7;ELEPCX1;ELEPCX1;9.999,0;Porfolio;ELEIA;ELEPCX1
ELEPVX1;18W000000000OMD5;ELEPVX1;ELEPVX1;9.999,0;Porfolio;ELEIA;ELEPVX1
ELESC01;18W0000000007JH0;ELESU_UP;ELESU_COMPRAS;0,2;Competitive suppliers;ELESU;ELESC01
ELGALLO;18WELGALLO-123-H;ELGALLO;18WELGALLO-123-H;49,4;Wonshore wind;EGLE;ECYLEO
ELGEA;18WELGEA-1234-EQ;ELGEA;P.E. SIERRA ELGEA;26,9;Wonshore wind;IBGES;EHIBGES
ELGURKI;18WELGURKI-12-EH;ELGURKI;P.E. ELGEA-URKILLA;32,3;0;IBGES;EBHIBHV
ELIESV;18W000000000NQQ8;ELIESV;ELIESV;0,9;Solar PV;RSPRA;FFRSPRA
ELITC01;18W000000000N20L;ELIE_BIO;ELITE BIOENERGIA SL;0,0;Competitive suppliers;ELITE;ELITC01
ELIXPO;18W000000000TS4M;ELIXPO;ELIXPO;1,0;Competitive suppliers;ENDCO;ENDER01
ELLOMAY;18W000000000NQPA;ELLOMAY;18W000000000NQPA;25,6;Solar PV;EGLE;FELLOM
ELMIX;18W000000000PZYV;ELMIX;ELMIX;12,5;Solar PV;GNRA;FVMAZO
ELMOC01;18W0000000007JG2;ELMON_UP;ELMON_COMPRAS;0,2;Competitive suppliers;ELMON;ELMOC01
ELP1;18WELP1-12345-AF;PICAZO 1;EL PICAZO 1;8,3;Hydro UGH;IBEG;JUCA
ELP2;18WELP2-12345-A5;PICAZO 2;EL PICAZO 2;8,9;Hydro UGH;IBEG;JUCA
ELPINO;18WELPINO--12--K;ELPINO;P.E. EL PINO;24,6;Wonshore wind;EBLCO;EELPINO
ELPOC01;18W-ELPOC01-1--M;ELPOP;ELPOP;8,7;Competitive suppliers;ELPOP;ELPOC01
ELPOZO;18WELPOZO-1234-1;ELPOZO;ELPOZO;17,2;Natural Gas Cogeneration;DETIC;TELPOZO
ELPUERT;18W000000000RGCD;ELPUERT;UFI PE EL PUERTO;5,0;Wonshore wind;EGLE;EPERTO
ELPUEYO;18WELPUEYO-123-A;ELPUEYO;UF CH EL PUEYO;14,0;Hydro non UGH;GNRA;HPUEYO
ELRASO;18WELRASO-1234-Y;ELRASO;P. E. EL RASO;4,5;Wonshore wind;EGED;EFEGED
ELSVALE;18W000000000QZP8;ELSVALE;ELS VALENTINS;1,8;Solar PV;WMARK;FFWMARK
ELTEC01;18W000000000JT3O;ELTED;ELECTED ENERGY;1,0;Competitive suppliers;ELTED;ELTEC01
ELTOLL;18W000000000T40S;ELTOLL;ELTOLL;3,0;Solar PV;LAUEI;FELTOLL
ELTOLLO;18W000000000MQ5H;ELTOLLO;PE EL TOLLO;50,0;Wonshore wind;IGNIS;UPEBRO
ELUREST;18W000000000TFC8;ELUREST;FTV ELUR-ESTE;6,0;Solar PV;EGLE;FSOL14
ELUROES;18W000000000TFE4;ELUROES;FTV ELUR-OESTE;6,0;Solar PV;EGLE;FSOL16
ELUZC01;18W000000000KPUF;E-LUZ;E-LUZ ENERGY;1,0;Competitive suppliers;ELUZE;ELUZC01
ELV2C01;18W-ELV2C01-4--0;ELEVA2;ELEVA 2 COMERCIALIZADORA, S.L.;0,4;Competitive suppliers;ELVA2;ELV2C01
ELVAC01;18W-ELVAC01-5--Z;ELEVA UNO;ELEVA UNO;0,4;Competitive suppliers;ELVA1;ELVAC01
ELVALLE;18W000000000HBJH;EL VALLE;PE ELVALLE_VALDENAVARRO;48,5;Wonshore wind;EBLCO;EVALLE
EMASAEG;18WEMASAEG-123-S;EMASAEG;EMASA EDAR GUADALHORCE;10,0;Natural Gas Cogeneration;WMARK;TEMASA
EMB1;18WEMB1-12345-A9;EMBID R. 2;EMBID DE LA RIBERA 2;1,5;Hydro UGH;ENDG;EBRACC1
EMB2;18WEMB2-12345--L;EMBID R. 1;EMBID DE LA RIBERA 1;1,2;Hydro UGH;ENDG;EBRACC1
EMELC01;18W-EMELC01-4--P;MELIANA;MELIANA;2,5;Competitive suppliers;EMELI;EMELC01
EMESC01;18W-EMESC01-9--G;EMESA;EMILIO ESTEBAN S.A.;0,9;Market direct consumption;EMES;EMESC01
EMIAC0F;18W000000000QWE2;ENERMIA;ENERMIA COMPRA;0,1;Competitive suppliers;ENEDH;EMIAC01
EMILIAN;18WEMILIAN-123-W;EMILIAN;18WEMILIAN-123-W;1,3;Hydro non UGH;EGLE;HCALDA
EMORELL;18WEMORELL-12-D0;EMORELL;REPSOL Q. EL MORELL;39,1;Natural Gas Cogeneration;REPP;EMORELL
EMORPER;18WEMORPER-12-DQ;EMORPER;REPSOL Q. EL MORELL-PERAFOR;86,7;Natural Gas Cogeneration;REPP;EMORPER
ENABAR;18WENABAR-123--7;ENABAR;ENAGAS BARCELONA;4,3;Residual energy;AME;ENABAR
ENAGASA;18WENAGASA-123-T;ENAGASA;ENAGAS ALMENDRALEJO;6,1;0;AME;HIBENAA
ENAH;18W000000000T1Z4;ENAH;ENAH;4,5;Geothermal and Ocean;AME;GENAH
ENAMU;18W000000000HADW;ENAMU;ENAMU;14,9;Natural Gas Cogeneration;DETIC;TFENAMU
ENAQE;18W000000000QYOD;ENAQE;ENAQE;1,4;Solar PV;GNRA;FVGNRA
ENARC01;18W-ENARC01-6--T;ENARC01;ENARC01;0,2;Competitive suppliers;ENARA;ENARC01
ENC1;18WENC1-12345-AN;ENCINARJ 1;ENCINAREJO 1;4,1;Hydro UGH;ENDG;GDLQ
ENC2;18WENC2-12345-AD;ENCINARJ 2;ENCINAREJO 2;4,1;Hydro UGH;ENDG;GDLQ
ENCECP3;18W000000000PAD0;COMPRAINTE;COMPRA INTER ENCE;30,0;Import France;EENER;ENCECP3
ENCEPON;18WENCEPON-12-D2;RENCEG;GENERACION ENCE PONTEVEDRA;34,5;Biomass;ENCEG;RENCE
ENCEVP3;18W000000000PAC2;VENTAINTER;VENTA INTERENCE;30,0;Export France;EENER;ENCEVP3
ENCIC01;18W000000000PPGN;ENCIENDE;ENCIENDETENERGIA SL;1,0;Competitive suppliers;ENCIE;ENCIC01
ENCIN;18W000000000TCH7;ENCIN;ENCIN;46,5;Wonshore wind;REPSB;ECERRA2
ENCINED;18WENCINED-123-Z;ENCINED;P.E.ENCINEDO;30,0;Wonshore wind;EGED;EGREEN1
ENCINIL;18W000000000K499;ENCINIL;ENCINILLAS;23,4;Wonshore wind;IBGES;EHIBGES
ENCRISA;18WENCRISA-12-DV;ENCRISA;ENERCRISA;19,6;Natural Gas Cogeneration;EGLE;TENCRI
ENDA;18WENDA-12345-AX;ENDARLAZA;ENDARLAZA;0,2;Hydro UGH;IBEG;EBRA
ENDE01;18W-ENDE01-60--L;ENDE01;ENDE01;999,0;Competitive suppliers;ENDCO;ENDE01
ENDEC01;18W0000000006OA3;ENDEC01;ENDEC01;1,0;Competitive suppliers;ENDEE;ENDEC01
ENDEC04;18W-ENDEC04-6--O;ENDEC AND;ENDEC04;0,0;Import Andorra;ENDCO;ENDEC04
ENDGCP3;18W-ENDGCP3-1--5;ENDGCP3;ENDGCP3;0,0;Import France;ENDG;ENDGCP3
ENDGVP3;18W-ENDGVP3-8--A;ENDGVP3;ENDGVP3;1.400,0;Export France;ENDG;ENDGVP3
ENDIC01;18W000000000GAHS;ENDI ENERG;ENDI ENERGY TRADING;0,5;Competitive suppliers;ENDI;ENDIC01
ENDKC0F;18W000000000QHBG;ENDKC01;COMPRA COMERCIALIZADORA;1,0;Competitive suppliers;ENEDK;ENDKC01
ENDPC01;18W0000000006OB1;ENDPC01;ENDPC01;1,0;Competitive suppliers;ENDEP;ENDPC01
ENDRE01;18W000000000Q8FZ;REPREFVAC;REPRESENTACION AUTOCONSUMO EE;1,0;Solar PV;ENDCO;ENDRE01
ENEC01;18W000000000RG00;ENERGIA UN;ENERGIA UNICA SOLUCIONES INTEG;0,6;Competitive suppliers;ENEDG;ENEC01
ENEDC01;18W000000000PRO1;ENEDC01;ENERGIAREA EUROPE SL;1,0;Competitive suppliers;ENEDB;ENEDC01
ENEEC01;18W000000000UFIT;AL ANDALUS;ENERGA GAS AL-ANDALUS SL;1,0;Competitive suppliers;ENEEX;ENEEC01
ENEIC01;18W000000000I92G;ENERFIA;ENERFIA COMPRA;0,1;Competitive suppliers;ENEFI;ENEIC01
ENEMANS;18WBIO-ENEMANSAF;ENEMANS;ENEMANSA;16,0;Biomass;ENCEG;RENMAN
ENEPC01;18W000000000QBQ4;ENEPC01;ENERGY PLUS IBERIA SL;0,0;Competitive suppliers;ENEPL;ENEPC01
ENERAL;18WENERAL-123-D8;ENERAL;ENERALCO;8,8;Natural Gas Cogeneration;GNCO;TFGASN
ENERCOR;18W000000000IJPE;ENERCOR;UF ENERCORR;14,9;Natural Gas Cogeneration;GEMSL;TENERCO
ENERE01;18W000000000RFRN;FYIBCUR;IB CUR  ( TARIFA, FOTOVOLTAICA;0,2;Solar PV;ENEDB;ENERE01
ENERFV;18W000000000GUMW;ENERFV;ENERPARC FV;1,9;Solar PV;SHELL;SESPV04
ENERFV2;18W000000000GUZ6;ENERFV2;ENERPARC FV2;4,0;Solar PV;SHELL;SESPV04
ENERFV3;18W000000000GV1Y;ENERFV3;ENERPARC FV3;4,0;Solar PV;SHELL;SESPV04
ENERFV4;18W000000000GV2W;ENERFV4;ENERPARC FV4;10,0;Solar PV;SHELL;SESPV05
ENERLAN;18W000000000RI2R;ENER;ENERLAN;2,0;Solar PV;GESTE;FENERLN
ENERPOR;18WENERPOR-123-N;ENERPOR;18WENERPOR-123-N;5,0;Natural Gas Cogeneration;EGLE;TEPCSA
ENERS;18W000000000QZ5B;ENERS;ENERS;10,0;Solar PV;GNRA;FVGNRA
ENESC01;18W000000000QB91;UP COMER;UP ESOLARTECH COMER;0,1;Competitive suppliers;ENEST;ENESC01
ENETC01;18W000000000R2DG;ENETC01;ENETC01;1,0;Competitive suppliers;ENETI;ENETC01
ENEXC0F;18W000000000QINQ;ENEXC01;COMPRA COMERCIALIZADORA;1,0;Competitive suppliers;ENEXS;ENEXC01
ENEYC01;18W000000000KBJ5;ECO2;ECO2 PENINSULA;0,1;Competitive suppliers;ENERY;ENEYC01
ENFDC01;18W000000000H899;ENFDC01;ENFDC01;40,0;Market direct consumption;ENUFR;ENFDC01
ENGLC01;18W000000000QZME;ENGLC01;ENGEL COMERCIALIZADORA;0,1;Competitive suppliers;ENGEL;ENGLC01
ENIX;18WENIX-12345--T;ENIX;P. E. DE ENIX;13,2;Wonshore wind;ECYR;EEGPEM
ENMEC01;18W0000000001V1K;EDM;ENERGIAS DEL MEDITERRANEO;0,1;Competitive suppliers;ENMED;ENMEC01
ENMEV01;18W000000000SFBE;ENMEV01;MENOS DE 1 MW;0,6;Hydro non UGH;ENMED;ENMEV01
ENP1;18WENP1-12345-AS;ENTREPEÑ 1;ENTREPEÑAS 1;20,3;Hydro UGH;GNFG;UFTA
ENP2;18WENP2-12345-AI;ENTREPEÑ 2;ENTREPEÑAS 2;20,4;Hydro UGH;GNFG;UFTA
ENPEC01;18W-ENPEC01-2--C;ENERPLUS;ENERPLUS ENERGIA, S.A.;0,1;Competitive suppliers;ENPEN;ENPEC01
ENPHC01;18W000000000P9T8;ENPHC01;ENPHC01;0,2;Market direct consumption;ENPHA;ENPHC01
ENRKC01;18W000000000TJFR;EKORE ADQ;EKORE ADQ;0,1;Competitive suppliers;EKORE;ENRKC01
ENRNC01;18W000000000MM7P;ENRNC01;ENRNC01;0,1;Competitive suppliers;ENRNV;ENRNC01
ENRPC01;18W-ENRPC01-8--H;ENRPC01;ENERPLUS SOCIEDAD COOPERATIVA;0,1;Competitive suppliers;ENERP;ENRPC01
ENSAC01;18W-ENSAC01-2--I;ENERGYSAVE;ENERGYSAVE PROJECTS S.L.;4,0;Competitive suppliers;ENSAV;ENSAC01
ENSOAN;18W000000000TVCY;ENSOAN;ENSOAN;1,0;Competitive suppliers;SHELL;SESAR01
ENSRR01;18W000000000TZHC;ENSRR01;ENSRR01;1,0;Competitive suppliers;ENUFR;ENSRR01
ENTRED;18WENTRED-123-EH;ENTREDICHO;P. E. ENTREDICHO;36,0;Wonshore wind;IBGES;EHIBGES
ENUFB1;18W000000000GYGW;ENUFB1;ENUFB1;16,9;Natural Gas Cogeneration;ENUFR;ENUFRV1
ENUFB11;18W000000000PPZM;LA RASA 1;LA RASA 1;1,0;Solar PV;ENUFR;ENUFV12
ENUFB12;18W000000000QW5K;ENUFB12;POAL FOTOVOLTAICA;2,0;Solar PV;ENUFR;ENUFV14
ENUFB13;18W000000000QW7G;ENUFB13;NUFRI SOLAR;1,8;Solar PV;ENUFR;ENUFV15
ENUFB14;18W000000000R2UJ;ENUFB14;CASTELLANA;3,0;Solar PV;ENUFR;ENUFV16
ENUFB16;18W000000000RVRC;ENUFB16;MAS ROIG;5,4;Solar PV;ENUFR;ENUFV18
ENUFB2;18W000000000GYKO;ENUFB2;ENUFB2;8,0;Biogas;ENUFR;ENUFRV5
ENUFB3;18W000000000GYMK;ENUFB3;ENUFB3;2,0;Biomass;ENUFR;ENUFRV6
ENUFB4;18W000000000GYV2;ENUFB4;ENUFB4;10,0;Natural Gas Cogeneration;ENUFR;ENUFRV1
ENUFB5;18W000000000GYW0;ENUFB5;ENUFB5;10,0;Natural Gas Cogeneration;ENUFR;ENUFV10
ENUFB7;18W000000000NKED;ENUFB7;LA JARA I;5,4;Solar PV;ENUFR;ENUFRV9
ENUFB8;18W000000000P9X0;LA JARA 2;LA JARA 2;5,3;Solar PV;ENUFR;ENUFV11
ENUFC01;18W0000000005CLL;ENUFRI;ENERGIA NUFRI SLU;0,5;Competitive suppliers;ENUFR;ENUFC01
ENUFRV4;18W000000000H76I;HYCEG;VIRGEN DE LAS VIÑAS;0,3;Hydro non UGH;ENUFR;ENUFRV4
ENUFRV8;18W000000000N8QP;FYNEXU;FYNEXU;3,5;Solar PV;ENUFR;ENUFRV8
ENUPCX1;18W000000000OGDN;ENUPCX1;ENUPCX1;9.999,0;Porfolio;ENUFR;ENUPCX1
ENUPVX1;18W000000000OGEL;ENUPVX1;ENUPVX1;9.999,0;Porfolio;ENUFR;ENUPVX1
ENVEC01;18W000000000JY55;ENERVER;ENERVER ENERGIA;1,0;Competitive suppliers;ENVER;ENVEC01
ENVIL;18W000000000B0F8;UF ENVIL;UF VILLANUEVA DE LA JARA II;3,0;Wonshore wind;GNRA;EFGNRA
ENXXC01;18W000000000P9OI;ENXXC01;ENXXC01;0,3;Market direct consumption;ENTXX;ENXXC01
ENZIC01;18W000000000L3C2;UP_ENEAC;UP_ZINQUETA;0,1;Competitive suppliers;ENEAC;ENZIC01
EOALP10;18W000000000U6AZ;EOALP10;EOALP10;48,6;Wonshore wind;HISPE;EALP10
EOALP11;18W000000000U6BX;EOALP11;EOALP11;48,1;Wonshore wind;HISPE;EALP11
EOALP12;18W000000000U6CV;EOALP12;EOALP12;21,6;Wonshore wind;HISPE;EALP12
EOALP13;18W000000000U6DT;EOALP13;EOALP13;30,0;Wonshore wind;HISPE;EALP13
EOALP14;18W000000000U80C;EOALP14;EOALP14;40,5;Wonshore wind;HISPE;EALP14
EOALP15;18W000000000U81A;EOALP15;EOALP15;33,6;Wonshore wind;HISPE;EALP15
EOALP16;18W000000000U828;EOALP16;EOALP16;3,0;Wonshore wind;HISPE;EALP16
EOALP18;18W000000000U844;EOALP18;EOALP18;4,3;Wonshore wind;HISPE;EALP18
EOALP19;18W000000000U925;EOALP19;EOALP19;8,6;Wonshore wind;HISPE;EALP18
EOALP4;18W000000000U5XT;EOALP4;EOALP4;10,0;Wonshore wind;HISPE;EALP4
EOALP5;18W000000000U5YR;EOALP5;EOALP5;30,0;Wonshore wind;HISPE;EALP5
EOALP6;18W000000000U5ZP;EOALP6;EOALP6;30,0;Wonshore wind;HISPE;EALP6
EOALP7;18W000000000U63C;EOALP7;EOALP7;49,4;Wonshore wind;HISPE;EALP7
EOALP8;18W000000000U64A;EOALP8;EOALP8;22,8;Wonshore wind;HISPE;EALP8
EOALP9;18W000000000U658;EOALP9;EOALP9;48,6;Wonshore wind;HISPE;EALP9
EOLBP;18W000000000TF2S;EOLBP;EOLBP;2,0;Offshore wind;GNRA;EFGNRAM
EOLPOP;18W0000000008NGN;EOLP;EOLICA VIURE;2,7;Wonshore wind;GESTE;EYOLPOP
EONUC01;18W-EONUC01-1--T;EONUC01;EONUC01;255,0;Suppliers of last resort;EONUR;EONUC01
EOP2C01;18W-EOP2C01-4--R;EOP;EOP;1,5;Competitive suppliers;EOP20;EOP2C01
EOPOLEO;18W000000000QQ51;POLEO;ELPOLEO;48,5;Wonshore wind;GESTE;ELPOLEO
EPACC01;18W000000000JQUG;EPACC01;EPACC01;0,1;Competitive suppliers;EPAC;EPACC01
EPARAMO;18WEPARAMO-123-U;EPARAMO;EPARAMO;24,0;Wonshore wind;EBLCO;EEPARAM
EPEEXXI;18W-EPEEXXI-1--A;EPEEXXI;END CUR  ( EÓLICA, PRUEBAS);0,0;Wonshore wind;EEXXI;EPEEXXI
EPEONUR;18W-EPEONUR-3--X;EPEONUR;E.ON CUR ( EÓLICA, PRUEBAS);0,0;Wonshore wind;EONUR;EPEONUR
EPFV1;18WEPFV1-12345-N;SUNPROSOL1;SUNPRO SOLAR 1;1,8;Solar PV;GNRA;FVGNRA
EPFV2;18WEPFV2-12345-E;SUNPROSOL2;SUNPRO SOLAR 2;1,5;Solar PV;GNRA;FVGNRA
EPHCCUR;18W-EPHCCUR-1--M;EPHCCUR;HC CUR ( EÓLICA, PRUEBAS);0,0;Wonshore wind;HCCUR;EPHCCUR
EPIBCUR;18W-EPIBCUR-4--9;EPIBCUR;IB CUR  ( EÓLICA, PRUEBAS);0,0;Wonshore wind;IBCUR;EPIBCUR
EPICASA;18WEPICASA-123-V;EPICASA;18WEPICASA-123-V;6,8;Natural Gas Cogeneration;EGLE;TRODON
EPILC01;18W000000000MMUG;EPILC01;EPILC01;0,5;Market direct consumption;EPILA;EPILC01
EPRSC01;18W-EPRSC01-8--5;EPRSC01;EPRSC01;9.999,0;Competitive suppliers;EPRSA;EPRSC01
EPSTO;18W000000000LNRN;EPSTO;EPSTO;2,0;Wonshore wind;GNRA;EFGNRA
EPT1;18WEPT1-12345-AY;ESPOT 1;ESPOT 1;4,8;Hydro UGH;ENDG;EBRFEN
EPT2;18WEPT2-12345-AO;ESPOT 2;ESPOT 2;4,8;Hydro UGH;ENDG;EBRFEN
EPU50UF;18W000000000FFJD;EPU50UF;UNIDAD FISICA ENCE PUERTOLLANO;50,0;Biomass;PU100;EPU50
EQUAC01;18W000000000UIJI;EQUAC01;COMPRA COMERCIALIZADORA;1,0;Competitive suppliers;EQUAN;EQUAC01
EQUEB;18W000000000PU4W;EQUEB;EQUEB;4,5;Wonshore wind;GNRA;EFGNRA
ERADELP;18WERADELP-123-0;ERADELP;P.E. ERA DEL PICO;11,9;Wonshore wind;HC G;HCGSCSA
ERAPR;18W000000000UDKV;ERAPR;ERAPR;3,5;Solar PV;GNRA;FVGNRA
ERARSAM;18WERARSAM-12-DC;ERARSAM;COGENER. E.R.A.R. SUR MADRID (;24,1;Natural Gas Cogeneration;GNRA;TBOREME
ERASB;18W000000000ISQM;ERASB;ERAS BONETE;5,0;Wonshore wind;WMARK;EFWMARK
ERBIX;18W000000000TTRA;ERBIX;ERBIX;1,9;Solar PV;GNRA;UPSON3
ERCR01;18W000000000QO57;ERCR01;ERCR01;1,0;Competitive suppliers;ENDCO;ENDER01
ERCR02;18W000000000QO65;ERCR02;ERCR02;1,0;Competitive suppliers;ENDCO;ENDER01
ERENC01;18W000000000FYB9;ERENC01;ENDESA ENERGIA RENOVABLE;0,0;Competitive suppliers;EEREN;ERENC01
ERESMA;18WERESMA-1234-H;ERESMA;HORNILLOS DE ERESMA;14,6;Natural Gas Cogeneration;COGEN;TIGERE
ERGON;18W000000000TBCK;ERGON;UF SOLAR ERGON;1,1;Solar PV;NEXU;FERGON
ERI1;18WERI1-12345-AK;ERISTE 1;ERISTE 1;44,0;Hydro UGH;ENDG;EBRACC1
ERI2;18WERI2-12345-AA;ERISTE 2;ERISTE 2;43,6;Hydro UGH;ENDG;EBRACC1
ERIAV;18W000000000S6B4;ERIAV;ERIAV;5,0;Solar PV;GNRA;UPERI
EROUCP3;18W-EROUCP3-1--L;EROUTE;ELECTROROUTE ENERGY TRADING LI;50,0;Import France;EROUT;EROUCP3
EROUVP3;18W-EROUVP3-3--9;EROUT;ELECTROROUTE ENERGY TRADING LI;50,0;Export France;EROUT;EROUVP3
ERPCC01;18W000000000Q9IQ;UP COMPRA;UP COMPRA ENERGETICA;5,0;Competitive suppliers;ENEDJ;ERPCC01
ERPCFV1;18W000000000R4DA;FYEFG;FYEFG;2,0;Solar PV;ENEDJ;ERPCFV1
ERPCHI1;18W000000000SK77;HYDETIC;DETIC (TARIFA,NO EXENTO,HID.);0,8;Hydro non UGH;ENEDJ;ERPCHI1
ERRADO2;18WERRADO2-123-Q;ERRADO2;18WERRADO2-123-Q;30,0;Solar thermal;EGLE;STUBOS
ERUELA;18W000000000SQCG;ER;UF SOLAR ERUELA;1,2;Solar PV;NEXU;FERUELA
ES-AGRE;18W000000000U0NR;ES-AGRE;ES-AGRE;1,0;Competitive suppliers;TGYE;TGYER01
ES-AGRZ;18W000000000U0F6;ES-AGRZ;ES-AGRZ;1,0;Competitive suppliers;TGYE;TGYER01
ES-AI83;18W000000000QQK8;ES-AI83;ES-AI83;1,0;Competitive suppliers;FORTI;FORTR01
ES-AIMA;18W000000000QQQX;ES-AIMA;ES-AIMA;1,0;Competitive suppliers;FORTI;FORTR01
ES-AISA;18W000000000QQRV;ES-AISA;ES-AISA;1,0;Competitive suppliers;FORTI;FORTR01
ES-ANTX;18W000000000TZJ8;ES-ANTX;ES-ANTX;1,0;Competitive suppliers;GNCO;GNCOR01
ES-ARA;18W000000000TZ09;ES-ARA;ES-ARA;1,0;Competitive suppliers;EGLE;AXPOR01
ES-ARCH;18W000000000P2BS;ES-ARCH;18W000000000P2BS;7,0;Solar PV;EGLE;FANPU
ES-ARML;18W000000000QKU6;ES-ARML;ES-ARML;1,0;Competitive suppliers;GALP;GALPR01
ES-AT79;18W000000000PVDB;ES-AT79;ES-AT79;1,0;Competitive suppliers;FORTI;FORTR01
ES-AVI;18W000000000U0AG;ES-AVI;ES-AVI;1,0;Competitive suppliers;TGYE;TGYER01
ES-BOLU;18W000000000Q2OZ;UF BOLU;UF BOLU;4,2;Hydro non UGH;GEMSL;ES-HCAB
ES-BOND;18W000000000QNXS;ES-BOND;ES-BOND;1,0;Competitive suppliers;EDPCL;EDPCR01
ES-BOO;18W000000000QOR0;ES-BOO;ES-BOO;1,0;Competitive suppliers;CENTE;EVMER01
ES-CEFI;18W000000000QPO3;ES-CEFI;ES-CEFI;1,0;Competitive suppliers;EDPCL;EDPCR01
ES-CLOS;18W000000000QJD6;ES-CLOS;ES-CLOS;11.200,0;Market direct consumption;GUIS;GUISR01
ES-CM96;18W000000000QQN2;ES-CM96;ES-CM96;1,0;Competitive suppliers;FORTI;FORTR01
ES-COVE;18W000000000QNYQ;ES-COVE;ES-COVE;1,0;Competitive suppliers;EDPCL;EDPCR01
ES-CUKX;18W000000000TYYI;ES-CUKX;ES-CUKX;1,0;Competitive suppliers;EGLE;AXPOR01
ES-CUPF;18W000000000TYXK;ES-CUPF;ES-CUPF;1,0;Competitive suppliers;EGLE;AXPOR01
ES-DXAT;18W000000000S1RO;ES-DXAT;ES-DXAT;1,0;Competitive suppliers;GNCO;GNCOR01
ES-DXBA;18W000000000S1QQ;ES-DXBA;ES-DXBA;1,0;Competitive suppliers;GNCO;GNCOR01
ES-DXTE;18W000000000S1PS;ES-DXTE;ES-DXTE;1,0;Competitive suppliers;GNCO;GNCOR01
ES-ERCR;18W000000000QOEQ;ES-ERCR;ES-ERCR;1,0;Competitive suppliers;GNCO;GNCOR01
ES-FGNE;18W000000000PY7E;MAZARRON F;MAZARRPON FISICA;4,5;Solar PV;ISMSL;ES-FGEN
ES-FINV;18W000000000PW5O;UFMAYA;UFMAYA;2,7;Solar PV;ISMSL;ES-FINV
